"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000253313","2","Cerebellum","NEUDM397JGD","CGND-HRA-00205"
"ENSG00000253313","0","Cerebellum","NEUDR086ZDQ","CGND-HRA-00207"
"ENSG00000253313","0","Cerebellum","NEUDT233ZZ1","CGND-HRA-00422"
"ENSG00000253313","0","Cerebellum","NEUDT709YHN","CGND-HRA-01650"
"ENSG00000253313","0","Cerebellum","NEUDX768ADY","CGND-HRA-02797"
"ENSG00000253313","0","Cerebellum","NEUEA633EN5","CGND-HRA-00671"
"ENSG00000253313","0","Cerebellum","NEUEB569WFU","CGND-HRA-01421"
"ENSG00000253313","0","Cerebellum","NEUEC006FND","CGND-HRA-00073"
"ENSG00000253313","1","Cerebellum","NEUEE362LGE","CGND-HRA-01632"
"ENSG00000253313","0","Cerebellum","NEUEE593VY7","CGND-HRA-00404"
"ENSG00000253313","1","Cerebellum","NEUEF397VVN","CGND-HRA-00303"
"ENSG00000253313","0","Cerebellum","NEUEF856BLV","CGND-HRA-00465"
"ENSG00000253313","1","Cerebellum","NEUEG442LDR","CGND-HRA-00667"
"ENSG00000253313","0","Cerebellum","NEUEH612JPA","CGND-HRA-00542"
"ENSG00000253313","1","Cerebellum","NEUEL133AK6","CGND-HRA-00069"
"ENSG00000253313","0","Cerebellum","NEUEL766XR1","CGND-HRA-03485"
"ENSG00000253313","0","Cerebellum","NEUEM417CHQ","CGND-HRA-02507-2"
"ENSG00000253313","0","Cerebellum","NEUEP010ZFE","CGND-HRA-01178"
"ENSG00000253313","0","Cerebellum","NEUFE255AG2","CGND-HRA-00486"
"ENSG00000253313","0","Cerebellum","NEUFF179PPT","CGND-HRA-00492"
"ENSG00000253313","0","Cerebellum","NEUFG213VG0","CGND-HRA-03295"
"ENSG00000253313","0","Cerebellum","NEUFN693AHN","CGND-HRA-02741"
"ENSG00000253313","0","Cerebellum","NEUFT454ZFP","CGND-HRA-00203"
"ENSG00000253313","0","Cerebellum","NEUFU395MJD","CGND-HRA-03057"
"ENSG00000253313","0","Cerebellum","NEUFV843EVC","CGND-HRA-01504"
"ENSG00000253313","0","Cerebellum","NEUFY271WFL","CGND-HRA-03271"
"ENSG00000253313","0","Cerebellum","NEUGA773REC","CGND-HRA-00081"
"ENSG00000253313","0","Cerebellum","NEUGD051YM7","CGND-HRA-02432"
"ENSG00000253313","0","Cerebellum","NEUGD887RT1","CGND-HRA-01492-2"
"ENSG00000253313","3","Cerebellum","NEUGG230KV0","CGND-HRA-02438"
"ENSG00000253313","0","Cerebellum","NEUGJ562DR9","CGND-HRA-02515"
"ENSG00000253313","0","Cerebellum","NEUGJ583BEE","CGND-HRA-01184-2"
"ENSG00000253313","1","Cerebellum","NEUGK141CFH","CGND-HRA-01173"
"ENSG00000253313","0","Cerebellum","NEUGL022MN2","CGND-HRA-01585"
"ENSG00000253313","0","Cerebellum","NEUGP259EBV","CGND-HRA-01443"
"ENSG00000253313","0","Cerebellum","NEUGT049MJ1","CGND-HRA-02909"
"ENSG00000253313","0","Cerebellum","NEUGU437VNF","CGND-HRA-01422"
"ENSG00000253313","0","Cerebellum","NEUGV102NYT","CGND-HRA-01975"
"ENSG00000253313","0","Cerebellum","NEUGV399KJW","CGND-HRA-00365"
"ENSG00000253313","0","Cerebellum","NEUGY575NUQ","CGND-HRA-00585"
"ENSG00000253313","0","Cerebellum","NEUGY741GH8","CGND-HRA-00480"
"ENSG00000253313","0","Cerebellum","NEUHC282LVJ","CGND-HRA-00077"
"ENSG00000253313","0","Cerebellum","NEUHC994KV4","CGND-HRA-02232"
"ENSG00000253313","0","Cerebellum","NEUHD481VCL","CGND-HRA-00206"
"ENSG00000253313","0","Cerebellum","NEUHJ609AXD","CGND-HRA-03501"
"ENSG00000253313","0","Cerebellum","NEUHM340FBZ","CGND-HRA-00706"
"ENSG00000253313","0","Cerebellum","NEUHM399CBL","CGND-HRA-01561"
"ENSG00000253313","0","Cerebellum","NEUHR385WC6","CGND-HRA-03318"
"ENSG00000253313","0","Cerebellum","NEUHT948VAD","CGND-HRA-03457"
"ENSG00000253313","0","Cerebellum","NEUHX090PGV","CGND-HRA-00643"
"ENSG00000253313","0","Cerebellum","NEUJF556NPE","CGND-HRA-03336"
"ENSG00000253313","0","Cerebellum","NEUJL308UBK","CGND-HRA-01350"
"ENSG00000253313","0","Cerebellum","NEUJR587KPC","CGND-HRA-02226-2"
"ENSG00000253313","0","Cerebellum","NEUJT167ZDX","CGND-HRA-03277"
"ENSG00000253313","0","Cerebellum","NEUJV725KH1","CGND-HRA-03013"
"ENSG00000253313","1","Cerebellum","NEUJW763EK7","CGND-HRA-03283"
"ENSG00000253313","0","Cerebellum","NEUJZ255ZC5","CGND-HRA-00076"
"ENSG00000253313","0","Cerebellum","NEUKD974CXJ","CGND-HRA-01413"
"ENSG00000253313","0","Cerebellum","NEUKG838WER","CGND-HRA-01579"
"ENSG00000253313","0","Cerebellum","NEUKH671TD4","CGND-HRA-02256"
"ENSG00000253313","0","Cerebellum","NEUKJ257ZPG","CGND-HRA-01573"
"ENSG00000253313","0","Cerebellum","NEUKJ976GGT","CGND-HRA-03004"
"ENSG00000253313","0","Cerebellum","NEUKM699KKH","CGND-HRA-00074"
"ENSG00000253313","0","Cerebellum","NEUKN179PH8","CGND-HRA-02142"
"ENSG00000253313","0","Cerebellum","NEUKN179PH8","CGND-HRA-03607"
"ENSG00000253313","0","Cerebellum","NEUKN209FNW","CGND-HRA-01362"
"ENSG00000253313","0","Cerebellum","NEUKT470MVZ","CGND-HRA-02456"
"ENSG00000253313","0","Cerebellum","NEUKV592NUT","CGND-HRA-01616"
"ENSG00000253313","0","Cerebellum","NEUKX037NKA","CGND-HRA-00182"
"ENSG00000253313","0","Cerebellum","NEUKX037NKA","CGND-HRA-00533"
"ENSG00000253313","0","Cerebellum","NEUKY135CV6","CGND-HRA-00380"
"ENSG00000253313","1","Cerebellum","NEUKZ647RCA","CGND-HRA-03348"
"ENSG00000253313","0","Cerebellum","NEUKZ727YY5","CGND-HRA-01622"
"ENSG00000253313","0","Cerebellum","NEULA285XJ0","CGND-HRA-01625"
"ENSG00000253313","0","Cerebellum","NEULH417FZJ","CGND-HRA-01278"
"ENSG00000253313","0","Cerebellum","NEULH901PYF","CGND-HRA-00726"
"ENSG00000253313","1","Cerebellum","NEULJ443PF5","CGND-HRA-01467"
"ENSG00000253313","0","Cerebellum","NEULN488RD5","CGND-HRA-00731"
"ENSG00000253313","0","Cerebellum","NEULP959LBP","CGND-HRA-01544"
"ENSG00000253313","0","Cerebellum","NEULT268RM4","CGND-HRA-00719"
"ENSG00000253313","0","Cerebellum","NEULV114EY9","CGND-HRA-01982"
"ENSG00000253313","0","Cerebellum","NEULV205HP5","CGND-HRA-03445"
"ENSG00000253313","0","Cerebellum","NEUME287RK2","CGND-HRA-00072"
"ENSG00000253313","1","Cerebellum","NEUMG691WPH","CGND-HRA-03474"
"ENSG00000253313","0","Cerebellum","NEUMH687NCM","CGND-HRA-03396"
